DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/05/01 18:21:00,AQUA_M-T,Brasil,SÃO PAULO,DOIS CÓRREGOS,Mata Atlântica,3,0.0,0.58,25.2,-22.35207,-48.43425
2025/05/01 18:21:00,AQUA_M-T,Brasil,SÃO PAULO,SÃO PEDRO DO TURVO,Cerrado,3,0.0,0.13,6.6,-22.68513,-49.81606
2025/05/01 18:21:00,AQUA_M-T,Brasil,SÃO PAULO,ITAÍ,Cerrado,3,0.0,0.13,26.4,-23.6134,-49.01318
2025/05/01 18:21:00,AQUA_M-T,Brasil,SÃO PAULO,ITAÍ,Cerrado,3,0.0,0.03,31.4,-23.61139,-49.00135
2025/05/03 18:02:00,AQUA_M-T,Brasil,SÃO PAULO,ALUMÍNIO,Mata Atlântica,5,0.0,0.24,11.2,-23.50311,-47.29943
2025/05/03 18:02:00,AQUA_M-T,Brasil,SÃO PAULO,COLÔMBIA,Cerrado,5,0.0,0.97,4.8,-20.18813,-48.67087
2025/05/03 18:02:00,AQUA_M-T,Brasil,SÃO PAULO,GUAREÍ,Mata Atlântica,5,0.0,0.83,9.6,-23.40522,-48.29164
2025/05/03 18:02:00,AQUA_M-T,Brasil,SÃO PAULO,ALUMÍNIO,Mata Atlântica,5,0.0,0.62,5.0,-23.50451,-47.30902
2025/05/05 17:41:00,AQUA_M-T,Brasil,SÃO PAULO,SÃO PEDRO DO TURVO,Cerrado,4,0.0,0.9,23.1,-22.67367,-49.79693
2025/05/06 18:19:00,AQUA_M-T,Brasil,SÃO PAULO,LUCIANÓPOLIS,Cerrado,2,0.0,0.64,11.1,-22.46226,-49.54992
2025/05/06 18:19:00,AQUA_M-T,Brasil,SÃO PAULO,ITAÍ,Cerrado,3,1.09,0.06,8.8,-23.59689,-49.01298
2025/05/06 18:19:00,AQUA_M-T,Brasil,SÃO PAULO,BARRETOS,Mata Atlântica,8,0.0,0.97,10.6,-20.481,-48.751
2025/05/06 18:19:00,AQUA_M-T,Brasil,SÃO PAULO,ITAPEVA,Cerrado,0,0.11,0.07,5.1,-24.09629,-48.97048
2025/05/08 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,ITAPEVA,Mata Atlântica,1,0.0,0.08,63.9,-24.11997,-48.71861
2025/05/08 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,RIBEIRÃO BRANCO,Mata Atlântica,1,0.0,0.07,4.8,-24.12141,-48.7295
2025/05/08 18:00:00,AQUA_M-T,Brasil,SÃO PAULO,PROMISSÃO,Mata Atlântica,9,0.0,0.82,18.4,-21.44164,-49.7529
2025/05/08 18:00:00,AQUA_M-T,Brasil,SÃO PAULO,ITAÍ,Cerrado,0,0.0,0.26,14.2,-23.59697,-49.00506
2025/05/08 18:00:00,AQUA_M-T,Brasil,SÃO PAULO,SÃO JOAQUIM DA BARRA,Cerrado,10,0.0,1.0,6.4,-20.53011,-47.981
2025/05/08 18:00:00,AQUA_M-T,Brasil,SÃO PAULO,GUARATINGUETÁ,Mata Atlântica,10,0.0,1.0,9.7,-22.83794,-45.1886
2025/05/09 18:38:00,AQUA_M-T,Brasil,SÃO PAULO,ITAÍ,Cerrado,2,0.0,0.17,36.0,-23.60675,-49.00372
2025/05/13 17:56:00,AQUA_M-T,Brasil,SÃO PAULO,SÃO PAULO,Mata Atlântica,2,0.0,-999.0,4.3,-23.43336,-46.75312
2025/05/13 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,TABAPUÃ,Mata Atlântica,4,0.0,0.88,22.8,-20.98114,-48.99731
2025/05/15 17:37:00,AQUA_M-T,Brasil,SÃO PAULO,MANDURI,Mata Atlântica,5,0.0,0.9,19.6,-23.08735,-49.28936
2025/05/15 17:39:00,AQUA_M-T,Brasil,SÃO PAULO,PALESTINA,Mata Atlântica,3,0.0,1.0,16.4,-20.26889,-49.36632
2025/05/15 17:39:00,AQUA_M-T,Brasil,SÃO PAULO,ORINDIÚVA,Mata Atlântica,3,0.0,0.9,58.7,-20.2662,-49.34139
2025/05/15 17:39:00,AQUA_M-T,Brasil,SÃO PAULO,ORINDIÚVA,Mata Atlântica,3,0.0,0.93,37.2,-20.2584,-49.33534
